date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:05	21242/21242	---M-Z	200	added ('OK')	text/html	etag:%2231608ba-52fa-5221068492b00%22	http://www.softwebsolutions.com/enterprise-app-store/enterprise-mobile-app-store.html	/tmp/www.softwaregurus.com/www.softwebsolutions.com/enterprise-app-store/enterprise-mobile-app-store.html	(from http://www.softwebsolutions.com/)
21:40:06	3367/3367	---M--	200	added ('OK')	image/svg+xml	etag:%2235a12ef-d27-52b8e45907a00%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-research-development.svg	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-research-development.svg	(from http://www.softwebsolutions.com/)
21:40:06	23603/23603	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:06%20GMT	http://go.softwebsolutions.com/amazon-echo.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/amazon-echo.html	(from http://www.softwebsolutions.com/)
21:40:07	5765/5765	---M--	200	added ('OK')	image/svg+xml	etag:%2235a12d5-1685-52b8e45907a00%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-iot-data-services.svg	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/icons-iot-data-services.svg	(from http://www.softwebsolutions.com/)
21:40:07	25662/25662	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:07%20GMT	http://go.softwebsolutions.com/azure-iot.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/azure-iot.html	(from http://www.softwebsolutions.com/)
21:40:07	29684/29684	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:07%20GMT	http://go.softwebsolutions.com/smart-manufacturing.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/smart-manufacturing.html	(from http://www.softwebsolutions.com/)
21:40:08	35441/35441	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:07%20GMT	http://go.softwebsolutions.com/predictive-maintenance.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/predictive-maintenance.html	(from http://www.softwebsolutions.com/)
21:40:08	25264/25264	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:08%20GMT	http://go.softwebsolutions.com/predictive-analytics.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/predictive-analytics.html	(from http://www.softwebsolutions.com/)
21:40:08	29673/29673	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:08%20GMT	http://go.softwebsolutions.com/cortana-intelligence-suite.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/cortana-intelligence-suite.html	(from http://www.softwebsolutions.com/)
21:40:09	41781/41781	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:08%20GMT	http://go.softwebsolutions.com/remote-monitoring/	/tmp/www.softwaregurus.com/go.softwebsolutions.com/remote-monitoring/index.html	(from http://www.softwebsolutions.com/)
21:40:09	24320/24320	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:09%20GMT	http://go.softwebsolutions.com/apache-spark-development-services.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/apache-spark-development-services.html	(from http://www.softwebsolutions.com/)
21:40:10	25853/25853	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:09%20GMT	http://go.softwebsolutions.com/r-analytics-services.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/r-analytics-services.html	(from http://www.softwebsolutions.com/)
21:40:10	33838/33838	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:09%20GMT	http://go.softwebsolutions.com/data-science-company/	/tmp/www.softwaregurus.com/go.softwebsolutions.com/data-science-company/index.html	(from http://www.softwebsolutions.com/)
21:40:10	32492/32492	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:10%20GMT	http://go.softwebsolutions.com/data-analytics-services.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/data-analytics-services.html	(from http://www.softwebsolutions.com/)
21:40:10	27052/27052	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:10%20GMT	http://go.softwebsolutions.com/data-visualization-services.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/data-visualization-services.html	(from http://www.softwebsolutions.com/)
21:40:11	26896/26896	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:10%20GMT	http://go.softwebsolutions.com/tableau-consultant-chicago.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/tableau-consultant-chicago.html	(from http://www.softwebsolutions.com/)
21:40:11	36828/36828	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:11%20GMT	http://go.softwebsolutions.com/power-bi.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/power-bi.html	(from http://www.softwebsolutions.com/)
21:40:12	21110/21110	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:11%20GMT	http://go.softwebsolutions.com/logi-analytics.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/logi-analytics.html	(from http://www.softwebsolutions.com/)
21:40:12	3989/3989	---M--	200	added ('OK')	image/png	etag:%2235a1eb5-f95-53bbf4e4f7217%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/event-icon.png	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/event-icon.png	(from http://www.softwebsolutions.com/)
21:40:12	19435/19435	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:12%20GMT	http://go.softwebsolutions.com/resources/iot-impact-on-manufacturing.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/resources/iot-impact-on-manufacturing.html	(from http://www.softwebsolutions.com/)
21:40:12	932/932	---M--	200	added ('OK')	image/png	etag:%2235a1eba-3a4-53bbf4e5843e7%22	http://www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/upcoming_line.png	/tmp/www.softwaregurus.com/www.softwebsolutions.com/wp-content/themes/softwebsolutions/images/upcoming_line.png	(from http://www.softwebsolutions.com/)
21:40:14	61790/61790	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:09%20GMT	http://www.softwebsolutions.com/resources/posts.html?blogtype=event-webinar	/tmp/www.softwaregurus.com/www.softwebsolutions.com/resources/posts9532.html	(from http://www.softwebsolutions.com/)
21:40:15	12298/12298	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Dec%202016%2002:40:14%20GMT	http://go.softwebsolutions.com/resources/iot-based-smart-farming-system-to-help-farmers.html	/tmp/www.softwaregurus.com/go.softwebsolutions.com/resources/iot-based-smart-farming-system-to-help-farmers.html	(from http://www.softwebsolutions.com/)
